id;project_name;project_nr;project_path;tree_sortkey;max_child_sortkey;description;billing_type_id;note;requires_report_p;project_budget;project_risk;corporate_sponsor;percent_completed;project_budget_hours;cost_quotes_cache;cost_invoices_cache;cost_timesheet_planned_cache;cost_purchase_orders_cache;cost_bills_cache;cost_timesheet_logged_cache;end_date;start_date;template_p;sort_order;reported_hours_cache;cost_expense_planned_cache;cost_expense_logged_cache;confirm_date;cost_delivery_notes_cache;cost_cache_dirty;milestone_p;release_item_p;presales_probability;presales_value;reported_days_cache;presales_value_currency;opportunity_sales_stage_id;opportunity_campaign_id;score_revenue;score_strategic;score_finance_npv;score_customers;score_finance_cost;cost_bills_planned;cost_expenses_planned;score_risk;score_capabilities;score_einance_roi;project_userwise_board;project_bring_nextday;project_bring_sameboard;project_newboard_everytime;project_userwise_board_2;project_bring_sameboard_2;project_newboard_2_everytime;project_newboard_2_always;project_report_weekly;score_gain;score_loss;score_delivery;score_operations;score_why;java_services;net_services;collection_link;training_link;collection_name;training_name;training_doc;testing_richtext;template_category;d_type;d_option;d_filter;d_id;t_type;t_option;t_filter;t_id;risktype;riskimpact;riskprobability
1;Forge Licensed;auxiliary;Engineer Toys Fantastic;Licensed;Marketing mobile Cayman Islands Dollar;Computer Uzbekistan;87294;alarm 1080p payment;true;63723;Engineer Central deposit;Associate Branding Small Metal Soap;92524;99935;18057;55580;56794;47321;91548;31285;2019-06-27T03:31:51;2019-06-27T01:27:11;true;73102;29734;19259;92439;2019-06-27T01:34:44;97105;2019-06-26T18:13:24;true;Shoal HTTP indexing;31910;52243;82891;Baby Money Market Account;23000;56067;12056;48106;7695;88499;69628;53026;33987;44103;72476;40448;Kansas;80397;Senegal withdrawal;Home Loan Account ADP Personal Loan Account;web-readiness;JBOD Books;87470;Holy See (Vatican City State);Data Tasty Steel Pants Licensed Steel Shirt;3759;47987;47978;62750;58075;zero defect drive Practical;convergence monitor;Music;B2C systematic;program;Gorgeous Steel Salad Associate;Fantastic whiteboard;12443;Usability;79798;78634;25898;8941;58855;41758;98233;87911;Communications Underpass Personal Loan Account;16703;74335
2;Intelligent Cotton Sausages quantifying Phased;Avon Automated Shirt;Electronics;neural wireless Generic Frozen Bike;Cambridgeshire Personal Loan Account Chile;syndicate;75823;Zimbabwe Dollar Salad;true;46338;Savings Account;Antigua and Barbuda Personal Loan Account Utah;9148;45743;87746;39116;26560;27295;12951;47667;2019-06-26T07:00:57;2019-06-27T03:16:50;true;85219;86212;3542;80951;2019-06-26T20:26:54;65524;2019-06-26T05:59:16;true;Gorgeous ROI implement;25975;69571;72342;Borders;8104;96212;22018;10946;68325;89447;7613;99147;85120;6151;49514;88290;Borders Internal;57131;payment Mayotte;optimal EXE optical;Synchronised Pizza;array;83701;UIC-Franc;Generic El Salvador Colon US Dollar purple;88163;88087;96131;87184;46547;SAS;Fresh;Reduced Corporate;connecting;generate Adaptive black;Money Market Account;New York Concrete expedite;907;synthesizing Wooden;28334;76102;1842;54126;43224;96299;84012;34187;deposit Mobility;10250;78880
3;Chicken bypass Paradigm;application;hard drive;proactive Checking Account;SCSI;Technician Architect calculate;13008;navigate Movies;false;82151;target;compress UAE Dirham Dam;27362;46853;99712;94430;42618;10219;45138;85420;2019-06-27T00:25:07;2019-06-26T15:41:50;true;82592;69368;29837;22076;2019-06-26T08:11:14;8238;2019-06-26T09:47:53;true;deposit;27325;86805;95086;Chair mindshare Interactions;41972;85736;63852;96452;39759;76009;27421;44229;98397;31195;40933;32074;program override red;86812;array Utah;Neck Liaison;fuchsia;hack;77092;connecting back up;back-end 4th generation;91183;92084;96751;61665;18545;Manors Music Savings Account;Ethiopian Birr architectures;Networked;Handcrafted Rubber Gloves;South Carolina;website Curve;Circles;68045;grow Orchestrator;72188;29166;65698;69498;75705;86012;95264;77985;Handmade Granite Fish Rustic Configurable;98666;57090
4;Health;Savings Account Rupiah;back up Tactics;Borders;PCI;Sports;7857;monetize Frozen;true;20085;Turkish Lira overriding Rustic Metal Computer;deposit circuit Kids;93621;61660;5197;61294;54129;29883;70906;93520;2019-06-26T07:26:33;2019-06-26T05:36:34;true;62530;80172;78342;33945;2019-06-26T13:39:06;81482;2019-06-26T16:43:13;false;Customer Montserrat;81729;78383;45231;deposit Central African Republic;73158;43860;8162;72482;6035;59327;24710;65029;15954;47927;87178;61574;utilisation;47018;override PNG;deposit Avon;Clothing deposit;Designer;97479;deposit maroon;blue web-readiness white;84045;46262;17419;86827;96078;mindshare navigating Money Market Account;drive Analyst Awesome Fresh Hat;Michigan Clothing;Borders HDD;redundant withdrawal Planner;National;benchmark;46581;calculating Customer-focused;77600;71582;40531;90903;60185;17968;63254;23754;Analyst Shirt;85438;6913
5;communities Refined;Pike Borders;payment Rustic;envisioneer Coordinator;SMTP;matrices;77347;Cotton Manager;false;23467;SDD;Gloves Jordan;33700;66939;82888;14575;43088;44943;24871;58788;2019-06-26T13:32:04;2019-06-26T05:34:48;true;25252;16704;35925;16761;2019-06-26T19:14:28;3667;2019-06-26T13:48:46;true;payment Spur;84417;70538;80567;Utah COM;20584;53990;11191;3418;26974;98669;5708;12297;53116;23113;93660;5169;deposit;22470;Sausages Incredible;Borders;Congolese Franc;Architect Developer;493;Paradigm;Facilitator Minnesota;25422;51559;52173;48884;34265;Burundi Steel Plastic;capacitor;feed;Officer;feed;communities;Officer Quality-focused invoice;97863;whiteboard Health Polarised;83087;86890;86460;57060;76851;3038;11310;93094;East Caribbean Dollar Nepalese Rupee lavender;65888;82683
6;Guarani Colorado;deposit Orchestrator;utilisation;recontextualize USB primary;optimal Refined;unleash system engine;66759;solid state program;true;31719;SAS embrace;Nigeria;575;32838;32458;63020;36646;60983;39617;56343;2019-06-26T11:39:17;2019-06-26T19:12:56;false;54849;44869;59648;23754;2019-06-26T15:14:57;37325;2019-06-26T17:40:47;false;Awesome Rubber Mouse;66821;64257;61949;Mill deliver XSS;51908;84716;47918;91423;2564;81376;34124;10891;38019;14899;39882;52662;Operative Place;39436;Slovenia synthesize capacitor;Sports violet;Dynamic;Principal;24348;Markets Intelligent Frozen Shoes;yellow Shoes;61735;25677;52308;28487;67009;Data;Moldova archive;monitor morph;networks Granite Computer;CSS haptic Fish;Licensed;white Principal;42452;Licensed connecting;37350;4341;52649;63315;11230;95140;258;60161;connecting HDD;22807;79374
7;payment;action-items;Human navigate Idaho;virtual;transmitter;bandwidth Trinidad and Tobago Dollar Licensed;62385;Landing;true;15298;Re-engineered;RSS sky blue Intelligent;2363;31227;64197;23024;60709;20618;54669;63796;2019-06-26T22:46:44;2019-06-26T22:10:50;false;63201;59447;5845;49676;2019-06-27T00:56:35;98778;2019-06-26T21:45:24;false;Russian Ruble deploy;42819;44579;71759;Lek Director Fresh;10410;60321;72433;33722;57838;90552;27416;77262;7941;26489;8565;64528;Savings Account monetize one-to-one;34356;Checking Account convergence;Handcrafted Soft Car Profit-focused Ethiopia;Credit Card Account Pataca Function-based;collaboration Aruban Guilder;99413;withdrawal Wyoming;Lodge proactive New Hampshire;8876;95762;96166;17530;63496;override Hat partnerships;Stravenue back up;moratorium Consultant;Markets Cross-group;Liaison Industrial;Accounts Dominican Republic quantifying;Generic Cloned;78790;RAM Auto Loan Account Buckinghamshire;15930;70874;6310;3616;11764;30312;22735;26311;dynamic Incredible;93695;23905
8;Bedfordshire navigating;Village;XML Sausages;Borders Planner navigating;Cambridgeshire;Granite quantifying;38062;EXE SMS back-end;true;21198;bypassing;utilize;17352;15379;69495;22361;34609;95732;97561;57304;2019-06-26T12:57:45;2019-06-26T05:57:37;true;57516;13252;47935;86201;2019-06-26T20:48:58;92275;2019-06-26T13:47:34;false;Personal Loan Account;76480;82933;17483;Cambridgeshire;39866;82520;14637;66630;36753;12176;6817;47823;2581;50610;13516;23255;Awesome parse Cotton;59429;Optimization;solutions Refined deposit;Kids;withdrawal Shirt;6134;digital Ferry;Cambridgeshire;75425;5778;61949;69503;29735;communities Keyboard Rustic;data-warehouse Intelligent Saudi Riyal;Home Loan Account;Manager open-source;orange Soap;Suriname models;optical;40479;deposit viral;52550;41412;48163;82753;17688;73361;38707;76930;Computers infrastructures Land;1919;79033
9;Rhode Island;Concrete Nepal pink;overriding;Officer primary;Sleek Cotton Computer intermediate withdrawal;compressing Rustic;48824;Pizza;false;24347;withdrawal cross-platform Investment Account;Key mobile Direct;95533;10214;78690;65869;31540;94283;68813;80888;2019-06-26T17:50:36;2019-06-27T02:30:42;false;27936;84087;93031;3842;2019-06-26T22:16:20;90176;2019-06-26T09:35:52;false;withdrawal withdrawal District;63666;22696;61393;Practical Granite Salad Computer matrix;51222;44327;68022;4783;4167;3802;8479;74620;71632;65903;7208;80213;Small;3557;Buckinghamshire facilitate Green;holistic reboot invoice;e-business;Awesome invoice;76437;full-range;Ergonomic;51465;96786;89890;29544;78248;Pre-emptive Coordinator Djibouti Franc;Concrete;reciprocal Generic Frozen Hat;Unbranded Frozen Gloves back-end;Wall;Investment Account;Legacy Slovenia;61649;Keyboard Incredible Wooden Sausages;59853;22461;9501;37216;37599;43207;55009;43940;Savings Account Response;24069;92831
10;Czech Koruna;TCP invoice;New Taiwan Dollar;SCSI;Universal Egypt invoice;Wall;84199;hard drive override deposit;false;32005;parse user-facing;Handmade Wooden Computer Metal;72597;9187;81778;96512;21351;48839;50585;15067;2019-06-26T08:10:08;2019-06-26T20:07:43;true;41341;54223;75818;59034;2019-06-26T10:30:13;50836;2019-06-26T13:39:33;false;Delaware;68888;9375;87332;invoice index;16007;16084;46155;55804;933;81175;24667;74171;72646;88145;99180;27790;maroon;87981;deposit knowledge user input;Home Loan Account magenta dynamic;Martinique Albania synthesizing;Sports back up ivory;95807;cross-platform pricing structure Pizza;Trail;50205;99633;12471;36830;38537;payment optical;Savings Account;withdrawal Clothing;Books;Pants Bacon;Fantastic Utah;Borders protocol;10413;Organic Kwacha;5280;60348;48659;67646;59936;80498;60214;26982;copying;49825;63649
