id;code;name;description;flag;color
1;viral;Quetzal Tasty Concrete Mouse;Corporate navigate Refined;Ball Ergonomic Buckinghamshire;orange
2;New Mexico back-end Granite;haptic budgetary management;Checking Account;Shoes;cyan
3;vortals;Graphic Interface calculating Gorgeous Cotton Pants;lime front-end;Zambian Kwacha calculate;fuchsia
4;alliance;Fresh Wyoming;Chief implement sky blue;Run withdrawal;salmon
5;US Dollar withdrawal;SAS;Plastic Tenge;generate Fresh;teal
6;Creative Hat Oregon;Berkshire THX;Virtual Ukraine;calculate bifurcated;purple
7;CSS Ball;tan Shirt programming;Personal Loan Account;Designer Maine;purple
8;incentivize solid state customized;efficient;generating cross-platform Chips;Electronics Down-sized Tajikistan;sky blue
9;Indiana;Kids HDD auxiliary;unleash Decentralized;Oval;pink
10;Gorgeous;Up-sized Program;mission-critical azure Seamless;Mississippi Health input;magenta
